latitude,longitude,area_code
-43.56405,172.72342,332000
-43.51167,172.6359,323800
-43.6254997253418,172.7392120361328,332901
-43.53299406902957,172.65004228941075,327100
-43.52336,172.63215,325800
-43.51312,172.61856,323000
-43.48134231567383,172.72076416015625,326000
-43.56367,172.66984,331400
-43.47928,172.58117,317800
-43.5339,172.74123,331700
-43.56474,172.64401,330600
-43.59786,172.72718,332501
-43.54193,172.60707,326100
-43.71518,172.8968,333201
-43.55957,172.6702,331400
-43.83113,172.94567,333300
-43.83186,172.90221,333300
-43.48136,172.56753,317000
-43.569,172.63509,331300
-43.81208,172.89129,333300
-43.62999,172.73077,332901
-43.5420367,172.6694475,330100
-43.5015,172.58418,319200
-43.56824,172.62874,330300
-43.485,172.61692,320501
-43.53122251169707,172.6098010316491,325200
-43.51234,172.6256,323900
-43.62736,172.72487,332901
-43.5615,172.60208,327700
-43.5526632,172.642893,329700
-43.60442,172.68787,332501
-43.52673,172.52733,318700
-43.50357,172.63884,323100
-43.48675,172.61604,320501
-43.48606,172.61688,320501
-43.48509,172.61774,320501
-43.48523,172.61557,320501
-43.53723,172.57834,322700
-43.50081,172.58361,319200
-43.49745,172.5632,318300
-43.53162,172.63783,326600
-43.5671872,172.7162891,332000
-43.53248,172.64463,327100
-43.52339,172.63,325700
-43.4771,172.5824,317000
-43.46004,172.58813,316800
-43.61911,172.64747,332200
-43.80869,172.97298,333500
-43.47105,172.69943,323700
-43.5056,172.64269,323100
-43.71427,172.89668,333201
-43.51782,172.57334,320700
-43.52916,172.64957,327000
-43.4995527,172.5654651,318300
-43.56068,172.72159,332000
-43.46435,172.59099,316800
-43.50787,172.67362,326500
-43.52778,172.66296,327902
-43.80930709838867,172.9618377685547,333500
-43.67181,172.78756,333201
-43.49479,172.61027,320900
-43.47749,172.62156,319600
-43.56973,172.73972,332400
-43.57798,172.62071,330300
-43.58216,172.57284,327301
-43.51191,172.577,320600
-43.57639,172.74771,332400
-43.50162,172.57375,319200
-43.50683,172.56675,318300
-43.55866,172.67018,331400
-43.53576525534641,172.63767358255618,326600
-43.5358197,172.6354849,326600
-43.52217,172.6269,325700
-43.80844,172.96245,333400
-43.80903,172.96288,333500
-43.80896,172.96283,333500
-43.60685,172.70377,332501
-43.5062,172.6222,322200
-43.50031,172.60903,320100
-43.57023,172.746,332400
-43.49364,172.60034,320100
-43.57355,172.71798,331900
-43.52637,172.62975,325700
-43.57778,172.76355,332700
-43.50407,172.59607,320800
-43.535,172.60973,325200
-43.52835774077717,172.61179970185245,323200
-43.47716,172.71811,326000
-43.80798,172.97337,333500
-43.5516803,172.638343,329700
-43.52277,172.62693,325700
-43.51062,172.61792,323000
-43.81195,172.96162,333500
-43.52903,172.66293,327902
-43.52353,172.63615,325800
-43.8061,172.97092,333500
-43.47943,172.67865,324001
-43.51215,172.6316,323900
-43.56871,172.74903,332400
-43.50696,172.60934,321400
-43.56201,172.73815,332100
-43.5567,172.6686,331400
-43.80371,172.98709,333300
-43.52452,172.63319,325700
-43.60421,172.69076,332501
-43.53136,172.60573,324400
-43.532,172.60596,324400
-43.55603,172.59006,325000
-43.57541,172.72647,332000
-43.53112,172.63803,326600
-43.51619,172.63945,324800
-43.5709,172.63623,331300
-43.53357,172.60372,324400
-43.80009,172.9721,333500
-43.4788,172.71784,326000
-43.55161,172.55743,322500
-43.52414,172.66494,327800
-43.57967,172.61018,330000
-43.5359512,172.6485488,327100
-43.5360637,172.6485723,327100
-43.52895,172.63076,325700
-43.51655,172.59063,320600
-43.48302,172.7214,326000
-43.52795,172.6289,325700
-43.57627,172.76412,332700
-43.4818,172.58161,317800
-43.50974,172.60462,321400
-43.54827,172.67828,331000
-43.79323,172.97018,333300
-43.55147,172.55779,322500
-43.54844,172.63988,329400
-43.45472,172.6245,316900
-43.51598,172.63206,323900
-43.75832,172.91413,333300
-43.75799,172.91219,333300
-43.80889893,172.96299744,333500
-43.52178,172.53565,318700
-43.52174,172.53386,318700
-43.81559,172.95986,333300
-43.81583404541016,172.96060180664062,333500
-43.52044,172.53391,318700
-43.49304,172.56933,317501
-43.52201,172.62124,323000
-43.53239,172.67073,327902
-43.521137,172.647675,325800
-43.81305,172.96555,333500
-43.55471,172.62898,329100
-43.52822,172.65269,327901
-43.45138,172.62817,316900
-43.51096,172.6328,323800
-43.5599,172.63238,329100
-43.56291,172.65158,331200
-43.47995,172.67498,321302
-43.64191,172.63812,332801
-43.53606,172.60521,324400
-43.49583,172.56887,318300
-43.52034,172.54638,319700
-43.5361789,172.6353027,326600
-43.51245,172.59908,321500
-43.58103,172.56186,328001
-43.81466,172.96103,333500
-43.5121355,172.6341847,323800
-43.51265,172.63297,323800
-43.48384,172.72264,326000
-43.5709,172.64482,331200
-43.48222,172.72223,326000
-43.48788,172.72119,327200
-43.57952,172.57556,327301
-43.52169,172.50432,316600
-43.56052,172.54602,322900
-43.5534,172.6747,331000
-43.63065,172.72596,332901
-43.52067,172.6203,323000
-43.50883,172.5769,320600
-43.5669,172.6108,329500
-43.62753,172.73202,332901
-43.55578,172.7518,331700
-43.53386,172.61037,325200
-43.50095,172.71318,328300
-43.50148,172.62932,322100
-43.5045,172.69422,327500
-43.51929,172.59158,322400
-43.51423,172.60978,322600
-43.54658,172.64623,328100
-43.57584,172.75861,332700
-43.546379,172.646439,328100
-43.76781,172.79302,333100
-43.52222,172.61959,323000
-43.57434,172.76768,332700
-43.57565,172.76431,332700
-43.52802,172.60085,323200
-43.53459,172.53118,320400
-43.5178,172.6268,323900
-43.58021,172.7757,332700
-43.5797582,172.7752207,332700
-43.48196,172.59494,317900
-43.53134,172.58614,322700
-43.53828,172.67245,330100
-43.55486,172.61644,327600
-43.53001,172.73733,331700
-43.79172,172.82681,333100
-43.50004,172.71521,328300
-43.52978,172.58231,321800
-43.52678,172.64735,327000
-43.5587,172.58159,325000
-43.49432,172.72457,327200
-43.5300407409668,172.64346313476562,327000
-43.51147,172.54075,318901
-43.55635,172.63504,329100
-43.81904,172.90317,333300
-43.55258,172.47425,318100
-43.50461,172.56226,318300
-43.57413,172.76723,332700
-43.49157,172.5692,317501
-43.47603,172.6092,317900
-43.51108,172.55383,318901
-43.52897,172.6426,327000
-43.52997,172.64598,327000
-43.53163,172.60952,325200
-43.56702,172.66383,331400
-43.47825,172.6721,321302
-43.53972,172.61871,327100
-43.80233,172.97131,333500
-43.78688,172.82108,333100
-43.51576908491404,172.6549992339138,325900
-43.81222,172.90329,333300
-43.57971,172.6377,331300
-43.80128,172.97057,333500
-43.80634,172.97249,333500
-43.52829,172.64195,327000
-43.50422,172.56064,318501
-43.52681350708008,172.63978576660156,325800
-43.52472,172.63918,325800
-43.510505083014834,172.60724790394306,321400
-43.51218,172.6325,323800
-43.52053,172.69647,330700
-43.52759,172.63683,326600
-43.5255,172.64435,325800
-43.64877,172.70757,332901
-43.53418,172.56,321000
-43.53059,172.63005,325700
-43.52999,172.63034,325700
-43.53,172.63007,325700
-43.53001,172.63001,325700
-43.53007,172.6302,325700
-43.53,172.63025,325700
-43.53005,172.63042,325700
-43.531,172.62977,325700
-43.53009,172.63005,325700
-43.49749,172.57014,318300
-43.4951461,172.6878224,325601
-43.5319,172.58115,322700
-43.80863,172.96231,333400
-43.81013,172.96066,333400
-43.81011,172.96229,333500
-43.81028,172.96134,333500
-43.53151,172.53955,319800
-43.5298,172.58123,321800
-43.50705,172.72386,330200
-43.56683,172.5591,325400
-43.51146,172.56463,320200
-43.80519,172.96649,333500
-43.52399,172.63091,325700
-43.5205078125,172.641845703125,324800
-43.52061,172.64188,324800
-43.52051,172.64185,324800
-43.57989,172.63734,331300
-43.53822,172.61871,324900
-43.79345,172.83375,333100
-43.80857,172.96068,333400
-43.79316,172.96854,333300
-43.4721,172.70434,323700
-43.78801,172.9065,333300
-43.52172,172.63711,325800
-43.8071,172.9702,333500
-43.80517,172.97061,333500
-43.80664,172.9707,333500
-43.54071,172.61797,326400
-43.49107,172.63497,321701
-43.81015,172.96075,333400
-43.52633,172.64021,325800
-43.55875,172.6571,330800
-43.62664,172.7414,332901
-43.4754,172.70761,325100
-43.52665,172.64123,325800
-43.55475,172.60642,326900
-43.53644,172.58957,323300
-43.51843,172.5823,320200
-43.52242,172.65902,326800
-43.56478,172.62806,329100
-43.55973,172.6455,330600
-43.52712,172.67834,328500
-43.51043,172.55376,318901
-43.55847,172.67101,331400
-43.48234,172.58511,317800
-43.52385,172.63662,325800
-43.60299,172.72141,332501
-43.5639,172.54946,322900
-43.51265,172.62676,323900
-43.50288,172.5951,320800
-43.52509,172.64206,325800
-43.518,172.59404,321500
-43.51721,172.68845,328400
-43.53078,172.57813,321800
-43.80834,172.96417,333500
-43.77746,172.89742,333300
-43.55932,172.56327,324700
-43.564,172.59403,327700
