TimeFrame,Location ID,Dwelling Type,Total Bonds,Active Bonds,Closed Bonds,Median Rent,Geometric Mean Rent
1/04/2026,147800,ALL,6,18,0,735,741
1/04/2026,148000,ALL,9,18,3,750,770
1/04/2026,148100,ALL,6,27,0,755,708
1/04/2026,148400,ALL,6,30,0,835,874
1/04/2026,148500,ALL,24,117,12,580,540
1/04/2026,148600,ALL,12,45,3,575,436
1/04/2026,148900,ALL,15,33,0,600,547
1/04/2026,149000,ALL,15,60,0,630,598
1/04/2026,149100,ALL,21,69,3,660,636
1/04/2026,149300,ALL,9,33,3,675,650
1/04/2026,149500,ALL,12,51,0,635,603
1/04/2026,149700,ALL,12,45,0,665,678
1/04/2026,149800,ALL,21,69,3,720,668
1/04/2026,150100,ALL,27,243,12,400,407
1/04/2026,150300,ALL,24,234,6,465,459
1/04/2026,150400,ALL,12,48,6,730,727
1/04/2026,150700,ALL,9,36,3,690,643
1/04/2026,150800,ALL,9,51,3,590,605
1/04/2026,150900,ALL,18,87,3,418,360
1/04/2026,151200,ALL,18,39,0,640,581
1/04/2026,151300,ALL,9,42,3,700,717
1/04/2026,151400,ALL,21,168,9,500,475
1/04/2026,151500,ALL,6,27,3,770,702
1/04/2026,151600,ALL,33,72,0,500,511
1/04/2026,151800,ALL,15,54,6,570,600
1/04/2026,151900,ALL,24,201,15,610,572
1/04/2026,152000,ALL,21,72,0,645,459
1/04/2026,152100,ALL,33,174,12,415,465
1/04/2026,152200,ALL,9,21,3,740,750
1/04/2026,152400,ALL,12,51,3,585,545
1/04/2026,152500,ALL,6,12,0,660,652
1/04/2026,152600,ALL,6,15,0,720,777
1/04/2026,152800,ALL,9,12,0,333,364
1/04/2026,152900,ALL,12,27,3,765,786
1/04/2026,153000,ALL,6,30,6,665,431
1/04/2026,153100,ALL,9,12,0,800,744
1/04/2026,153300,ALL,9,36,0,610,622
1/04/2026,153500,ALL,6,15,0,598,509
1/04/2026,153600,ALL,6,9,0,660,659
1/04/2026,153700,ALL,6,12,3,825,775
1/04/2026,153900,ALL,6,12,0,810,802
1/04/2026,154000,ALL,33,93,6,600,608
1/04/2026,154100,ALL,9,36,0,650,682
1/04/2026,154200,ALL,15,60,3,530,563
1/04/2026,154300,ALL,6,24,3,725,755
1/04/2026,154400,ALL,6,69,3,333,242
1/04/2026,154800,ALL,15,81,9,650,663
1/04/2026,154900,ALL,42,300,15,550,529
1/04/2026,155000,ALL,9,30,3,650,653
1/04/2026,155100,ALL,6,18,0,598,593
1/04/2026,155200,ALL,6,33,3,788,740
1/04/2026,155400,ALL,12,54,6,760,727
1/04/2026,155500,ALL,36,228,18,450,465
1/04/2026,155600,ALL,18,72,3,588,629
1/04/2026,155700,ALL,9,24,0,620,598
1/04/2026,155800,ALL,12,21,0,675,670
1/04/2026,155900,ALL,6,48,3,570,592
1/04/2026,156200,ALL,21,123,9,580,543
1/04/2026,156300,ALL,6,15,0,790,873
1/04/2026,156400,ALL,12,51,3,850,792
1/04/2026,156500,ALL,15,63,0,580,442
1/04/2026,156700,ALL,9,27,0,650,640
1/04/2026,156900,ALL,6,15,3,870,732
1/04/2026,157000,ALL,18,42,3,590,581
1/04/2026,157300,ALL,6,12,0,705,713
1/04/2026,157400,ALL,9,27,0,560,587
1/04/2026,157500,ALL,12,30,3,730,720
1/04/2026,157600,ALL,33,150,30,495,506
1/04/2026,157700,ALL,6,18,0,412,295
1/04/2026,157800,ALL,9,27,3,730,733
1/04/2026,157900,ALL,6,27,0,578,584
1/04/2026,158000,ALL,9,30,3,600,708
1/04/2026,158100,ALL,24,66,6,740,720
1/04/2026,158200,ALL,6,51,3,755,737
1/04/2026,158300,ALL,12,39,0,765,742
1/04/2026,158400,ALL,27,78,9,525,528
1/04/2026,158500,ALL,9,33,3,750,734
1/04/2026,158600,ALL,33,93,3,630,632
1/04/2026,158700,ALL,15,33,0,630,629
1/04/2026,158800,ALL,9,39,3,620,634
1/04/2026,159000,ALL,12,33,3,735,695
1/04/2026,159100,ALL,15,66,0,650,609
1/04/2026,159200,ALL,21,87,6,635,598
1/04/2026,159300,ALL,6,15,3,675,648
1/04/2026,159500,ALL,6,24,3,610,629
1/04/2026,159600,ALL,9,33,0,690,660
1/04/2026,159700,ALL,6,18,3,603,610
1/04/2026,159900,ALL,27,45,0,650,669
1/04/2026,160000,ALL,15,33,0,650,620
1/04/2026,160100,ALL,15,72,3,600,586
1/04/2026,160200,ALL,18,39,3,683,687
1/04/2026,160300,ALL,27,57,3,174,258
1/04/2026,160400,ALL,18,48,3,465,501
1/04/2026,160500,ALL,12,45,0,640,568
1/04/2026,160600,ALL,39,99,6,560,502
1/04/2026,160700,ALL,30,51,0,545,350
1/04/2026,160800,ALL,15,57,0,650,624
1/04/2026,160900,ALL,27,120,3,570,517
1/04/2026,161000,ALL,6,18,0,700,573
1/04/2026,161100,ALL,12,15,0,825,774
1/04/2026,161200,ALL,15,39,0,580,443
1/04/2026,161300,ALL,12,30,3,645,653
1/04/2026,161400,ALL,15,33,0,800,793
1/04/2026,161600,ALL,9,63,3,595,548
1/04/2026,161800,ALL,6,27,3,600,612
1/04/2026,161900,ALL,15,27,3,595,576
1/04/2026,162000,ALL,6,39,3,635,661
